,ts,latitude,longitude,satellites
153,47.42,39.38447570800781,-8.2780122756958,12
154,48.02,39.384525299072266,-8.27803897857666,12
155,48.22,39.38454055786133,-8.278048515319824,12
156,48.42,39.384559631347656,-8.278058052062988,12
157,48.82,39.38459777832031,-8.278077125549316,12
158,49.02,39.38461685180664,-8.27808666229248,12
159,49.22,39.38463592529297,-8.278097152709961,12
160,49.42,39.3846549987793,-8.278107643127441,12
161,50.02,39.38471221923828,-8.278141975402832,12
162,50.22,39.38473129272461,-8.278153419494629,12
163,50.42,39.38475036621094,-8.278165817260742,12
164,50.82,39.384788513183594,-8.278190612792969,12
165,51.02,39.38480758666992,-8.278203010559082,12
166,51.22,39.38482666015625,-8.278215408325195,12
167,51.42,39.38484573364258,-8.278227806091309,12
168,52.02,39.3848991394043,-8.2782621383667,12
169,52.22,39.384918212890625,-8.278273582458496,12
170,52.42,39.38493728637695,-8.278284072875977,12
171,52.82,39.384971618652344,-8.278305053710938,12
172,53.02,39.38499069213867,-8.278314590454102,12
173,53.22,39.385005950927734,-8.278324127197266,12
174,53.42,39.38502502441406,-8.27833366394043,12
175,53.62,39.38502502441406,-8.27833366394043,12
176,53.72,39.385040283203125,-8.278342247009277,12
177,53.82,39.38505935668945,-8.278350830078125,12
178,54.02,39.385074615478516,-8.278358459472656,12
179,54.22,39.385093688964844,-8.278365135192871,12
180,54.42,39.385108947753906,-8.27837085723877,12
181,54.82,39.3851432800293,-8.2783842086792,12
182,55.02,39.385162353515625,-8.278388977050781,12
183,55.22,39.38517761230469,-8.278392791748047,12
184,55.42,39.385196685791016,-8.278397560119629,12
185,55.72,39.385215759277344,-8.278400421142578,12
186,56.02,39.385250091552734,-8.278407096862793,12
187,56.22,39.38526916503906,-8.278410911560059,12
188,56.42,39.38528823852539,-8.27841567993164,12
189,56.82,39.38532638549805,-8.278424263000488,12
190,57.02,39.38534927368164,-8.278428077697754,12
191,57.22,39.38536834716797,-8.27843189239502,12
192,57.42,39.3853874206543,-8.278435707092285,12
193,58.02,39.38544464111328,-8.278447151184082,12
194,58.22,39.38544464111328,-8.278447151184082,12
195,58.32,39.38546371459961,-8.278451919555664,12
196,58.42,39.38546371459961,-8.278451919555664,12
